dataset,strategy,budget_fraction,budget,seed,auc,n_sampled,pool_size,sampling_time,inference_time,n_classes
MiniBooNE,stratified,0.25,2500,3,0.9782210654677584,2500,104051,0.013,44.658,2
MiniBooNE,random,0.25,2500,4,0.9777310812388006,2500,104051,0.001,45.436,2
MiniBooNE,stratified,0.25,2500,4,0.9780399531089404,2500,104051,0.013,43.193,2
MiniBooNE,random,0.5,5000,1,0.9791108740533956,5000,104051,0.001,89.259,2
MiniBooNE,stratified,0.5,5000,1,0.9790146704973716,5000,104051,0.013,80.979,2
MiniBooNE,random,0.5,5000,2,0.9790911577736336,5000,104051,0.001,79.914,2
MiniBooNE,stratified,0.5,5000,2,0.979191473016141,5000,104051,0.012,80.16,2
MiniBooNE,random,0.5,5000,3,0.980481006881675,5000,104051,0.001,80.663,2
MiniBooNE,stratified,0.5,5000,3,0.979391137502524,5000,104051,0.013,81.359,2
MiniBooNE,random,0.5,5000,4,0.9792276112726392,5000,104051,0.001,80.171,2
MiniBooNE,stratified,0.5,5000,4,0.97934533925971,5000,104051,0.013,80.376,2
MiniBooNE,random,1.0,10000,1,0.9804747155059722,10000,104051,0.001,187.55,2
MiniBooNE,stratified,1.0,10000,1,0.9798427047089808,10000,104051,0.017,189.854,2
MiniBooNE,random,1.0,10000,2,0.9789468276704018,10000,104051,0.001,195.171,2
MiniBooNE,stratified,1.0,10000,2,0.9793404349589654,10000,104051,0.013,196.439,2
MiniBooNE,random,1.0,10000,3,0.979425888684064,10000,104051,0.001,190.944,2
MiniBooNE,stratified,1.0,10000,3,0.9790943282306808,10000,104051,0.012,186.803,2
MiniBooNE,random,1.0,10000,4,0.9805523917036272,10000,104051,0.001,187.767,2
MiniBooNE,stratified,1.0,10000,4,0.9805459021743588,10000,104051,0.012,190.385,2
covertype,random,0.1,1000,1,0.9408232091186944,1000,464809,0.003,18.49,7
covertype,stratified,0.1,1000,1,0.93004768146202,1000,464809,0.067,16.905,7
covertype,random,0.1,1000,2,0.9335030865884264,1000,464809,0.003,16.616,7
covertype,stratified,0.1,1000,2,0.9391811656821044,1000,464809,0.069,18.273,7
covertype,random,0.1,1000,3,0.9406936340473538,1000,464809,0.004,18.838,7
covertype,stratified,0.1,1000,3,0.9342733716891024,1000,464809,0.069,19.052,7
covertype,random,0.1,1000,4,0.9333303050589384,1000,464809,0.003,18.335,7
covertype,stratified,0.1,1000,4,0.9315196337435308,1000,464809,0.07,18.359,7
covertype,random,0.25,2500,1,0.9547642004811336,2500,464809,0.003,32.966,7
covertype,stratified,0.25,2500,1,0.9535866136879284,2500,464809,0.071,30.722,7
covertype,random,0.25,2500,2,0.9538005789637536,2500,464809,0.004,32.672,7
covertype,stratified,0.25,2500,2,0.9566218890910432,2500,464809,0.067,31.061,7
covertype,random,0.25,2500,3,0.9552004233414454,2500,464809,0.004,31.428,7
covertype,stratified,0.25,2500,3,0.95801920065174,2500,464809,0.066,31.463,7
covertype,random,0.25,2500,4,0.9516190589143864,2500,464809,0.004,32.036,7
covertype,stratified,0.25,2500,4,0.9555482259159052,2500,464809,0.065,31.325,7
covertype,random,0.5,5000,1,0.9684046986390182,5000,464809,0.004,59.913,7
covertype,stratified,0.5,5000,1,0.9677572161333368,5000,464809,0.066,58.462,7
covertype,random,0.5,5000,2,0.9683853966754792,5000,464809,0.004,58.571,7
covertype,stratified,0.5,5000,2,0.9696224728384673,5000,464809,0.065,58.695,7
covertype,random,0.5,5000,3,0.9681651004579588,5000,464809,0.004,58.033,7
covertype,stratified,0.5,5000,3,0.9698996333592248,5000,464809,0.066,57.341,7
covertype,random,0.5,5000,4,0.9697988570372418,5000,464809,0.003,58.284,7
covertype,stratified,0.5,5000,4,0.9688983102280548,5000,464809,0.066,58.784,7
covertype,random,1.0,10000,1,0.977992545572412,10000,464809,0.004,135.559,7
covertype,stratified,1.0,10000,1,0.9778597634812012,10000,464809,0.065,137.041,7
covertype,random,1.0,10000,2,0.9795424327845944,10000,464809,0.004,138.852,7
covertype,stratified,1.0,10000,2,0.9669487888197198,10000,464809,0.066,139.034,7
covertype,random,1.0,10000,3,0.9757279843134083,10000,464809,0.003,131.518,7
covertype,stratified,1.0,10000,3,0.9791818416657356,10000,464809,0.066,132.007,7
covertype,random,1.0,10000,4,0.978690528652271,10000,464809,0.003,123.842,7
covertype,stratified,1.0,10000,4,0.9783791404135912,10000,464809,0.067,124.094,7
bank-marketing,random,0.1,1000,1,0.8899639328466773,1000,36168,0.0,6.507,2
bank-marketing,stratified,0.1,1000,1,0.9079801092075998,1000,36168,0.004,6.556,2
bank-marketing,random,0.1,1000,2,0.9114099806702785,1000,36168,0.0,6.515,2
bank-marketing,stratified,0.1,1000,2,0.9139130198043828,1000,36168,0.004,6.488,2
bank-marketing,random,0.1,1000,3,0.90758084925303,1000,36168,0.0,6.459,2
bank-marketing,stratified,0.1,1000,3,0.9102041516880066,1000,36168,0.004,6.468,2
bank-marketing,random,0.1,1000,4,0.9093721332413208,1000,36168,0.0,6.981,2
bank-marketing,stratified,0.1,1000,4,0.9119781537452668,1000,36168,0.004,6.805,2
bank-marketing,random,0.25,2500,1,0.9153677796151336,2500,36168,0.0,11.087,2
bank-marketing,stratified,0.25,2500,1,0.9168470418897436,2500,36168,0.005,11.034,2
bank-marketing,random,0.25,2500,2,0.921486530155194,2500,36168,0.0,11.041,2
bank-marketing,stratified,0.25,2500,2,0.9213711199993372,2500,36168,0.005,11.012,2
bank-marketing,random,0.25,2500,3,0.920009516899006,2500,36168,0.0,10.925,2
bank-marketing,stratified,0.25,2500,3,0.9235015322917616,2500,36168,0.004,10.964,2
bank-marketing,random,0.25,2500,4,0.921864483619452,2500,36168,0.0,10.965,2
bank-marketing,stratified,0.25,2500,4,0.9184799476333816,2500,36168,0.004,10.956,2
bank-marketing,random,0.5,5000,1,0.920772525990959,5000,36168,0.0,19.78,2
bank-marketing,stratified,0.5,5000,1,0.9251944513164452,5000,36168,0.004,20.162,2
bank-marketing,random,0.5,5000,2,0.9289001234592744,5000,36168,0.001,20.46,2
bank-marketing,stratified,0.5,5000,2,0.9263207360682186,5000,36168,0.005,20.427,2
bank-marketing,random,0.5,5000,3,0.9275176873461938,5000,36168,0.0,20.776,2
bank-marketing,stratified,0.5,5000,3,0.9289203646250708,5000,36168,0.005,20.712,2
bank-marketing,random,0.5,5000,4,0.9266965588834452,5000,36168,0.0,20.836,2
bank-marketing,stratified,0.5,5000,4,0.926582214052104,5000,36168,0.005,20.803,2
bank-marketing,random,1.0,10000,1,0.9285499868018128,10000,36168,0.001,50.692,2
bank-marketing,stratified,1.0,10000,1,0.9308132687352112,10000,36168,0.005,50.719,2
bank-marketing,random,1.0,10000,2,0.9321888986083312,10000,36168,0.001,51.672,2
bank-marketing,stratified,1.0,10000,2,0.9316596690628576,10000,36168,0.004,50.416,2
bank-marketing,random,1.0,10000,3,0.9307380449874704,10000,36168,0.001,51.575,2
bank-marketing,stratified,1.0,10000,3,0.9320752639933332,10000,36168,0.004,51.083,2
bank-marketing,random,1.0,10000,4,0.9304972816469445,10000,36168,0.001,51.185,2
bank-marketing,stratified,1.0,10000,4,0.9286109470379834,10000,36168,0.005,51.366,2
higgs,prototype,0.1,1000,1,0.6687689851162628,1000,78440,25.879,15.416,2
higgs,prototype,0.1,1000,2,0.6696078096158135,1000,78440,26.214,15.34,2
higgs,prototype,0.1,1000,3,0.663781767738959,1000,78440,26.383,15.265,2
higgs,prototype,0.1,1000,4,0.6921916603620389,1000,78440,25.909,15.471,2
higgs,prototype,0.25,2500,1,0.7196278471755028,2500,78440,26.087,29.264,2
higgs,prototype,0.25,2500,2,0.7255340312648535,2500,78440,27.047,29.723,2
higgs,prototype,0.25,2500,3,0.7333978604557536,2500,78440,25.913,31.296,2
higgs,prototype,0.25,2500,4,0.7285105700234255,2500,78440,26.072,30.325,2
higgs,prototype,0.5,5000,1,0.7514174978260874,5000,78440,26.283,58.205,2
higgs,prototype,0.5,5000,2,0.7461380844301619,5000,78440,25.978,56.586,2
higgs,prototype,0.5,5000,3,0.7368691379202128,5000,78440,26.216,58.033,2
higgs,prototype,0.5,5000,4,0.7275821323238224,5000,78440,26.107,55.428,2
higgs,prototype,1.0,10000,1,0.7557333987634101,10000,78440,27.862,126.73,2
higgs,prototype,1.0,10000,2,0.7605306947483053,10000,78440,25.8,126.647,2
higgs,prototype,1.0,10000,3,0.7568723452139647,10000,78440,25.953,127.669,2
higgs,prototype,1.0,10000,4,0.7598669229933265,10000,78440,25.893,133.612,2
MiniBooNE,prototype,0.1,1000,1,0.8506281517563044,1000,104051,59.448,29.469,2
MiniBooNE,prototype,0.1,1000,2,0.8515163255750268,1000,104051,58.408,29.176,2
MiniBooNE,prototype,0.1,1000,3,0.8414347675490248,1000,104051,57.113,28.334,2
MiniBooNE,prototype,0.1,1000,4,0.8136495259869483,1000,104051,52.028,25.752,2
MiniBooNE,prototype,0.25,2500,1,0.9294817531280026,2500,104051,50.172,44.161,2
MiniBooNE,prototype,0.25,2500,2,0.9022708844445684,2500,104051,58.35,47.156,2
MiniBooNE,prototype,0.25,2500,3,0.9112358718984755,2500,104051,59.465,49.865,2
MiniBooNE,prototype,0.25,2500,4,0.8956911953039189,2500,104051,59.513,49.039,2
MiniBooNE,prototype,0.5,5000,1,0.9571568460768862,5000,104051,60.074,91.87,2
MiniBooNE,prototype,0.5,5000,2,0.9568856233841816,5000,104051,60.818,91.44,2
MiniBooNE,prototype,0.5,5000,3,0.951656400330441,5000,104051,60.401,93.363,2
MiniBooNE,prototype,0.5,5000,4,0.9533297576522448,5000,104051,64.041,98.17,2
MiniBooNE,prototype,1.0,10000,1,0.965382720731678,10000,104051,64.863,252.3,2
MiniBooNE,prototype,1.0,10000,2,0.9683855646316494,10000,104051,63.717,233.719,2
MiniBooNE,prototype,1.0,10000,3,0.9677047585191666,10000,104051,59.877,224.65,2
MiniBooNE,prototype,1.0,10000,4,0.9679557200098048,10000,104051,58.555,221.953,2
bank-marketing,prototype,0.1,1000,1,0.856718764981126,1000,36168,1.161,8.032,2
bank-marketing,prototype,0.1,1000,2,0.8839431921620523,1000,36168,1.157,7.935,2
bank-marketing,prototype,0.1,1000,3,0.8685705002172079,1000,36168,1.166,8.093,2
bank-marketing,prototype,0.1,1000,4,0.8521531984001194,1000,36168,1.158,8.531,2
bank-marketing,prototype,0.25,2500,1,0.8854251769326466,2500,36168,1.163,15.039,2
bank-marketing,prototype,0.25,2500,2,0.8903134776571857,2500,36168,1.2,14.508,2
bank-marketing,prototype,0.25,2500,3,0.8899180055231157,2500,36168,1.179,14.265,2
bank-marketing,prototype,0.25,2500,4,0.8878976767639701,2500,36168,1.188,15.288,2
bank-marketing,prototype,0.5,5000,1,0.9125443145406142,5000,36168,1.228,30.576,2
bank-marketing,prototype,0.5,5000,2,0.910989295856006,5000,36168,1.215,29.182,2
bank-marketing,prototype,0.5,5000,3,0.9144929114490424,5000,36168,1.223,29.151,2
bank-marketing,prototype,0.5,5000,4,0.9159199136376924,5000,36168,1.188,26.622,2
bank-marketing,prototype,1.0,10000,1,0.92549392587472,10000,36168,1.191,66.308,2
bank-marketing,prototype,1.0,10000,2,0.9222574699963187,10000,36168,1.161,62.862,2
bank-marketing,prototype,1.0,10000,3,0.9272273272309968,10000,36168,1.215,63.492,2
bank-marketing,prototype,1.0,10000,4,0.9251803653589612,10000,36168,1.138,61.421,2
higgs,coreset,0.1,1000,1,0.7096936039210531,1000,78440,1.715,12.628,2
higgs,coreset,0.1,1000,2,0.7039810533696569,1000,78440,1.833,12.087,2
higgs,coreset,0.1,1000,3,0.6772334996535062,1000,78440,1.525,12.643,2
higgs,coreset,0.1,1000,4,0.7179901689543917,1000,78440,1.672,12.221,2
higgs,coreset,0.25,2500,1,0.7343018381260544,2500,78440,4.699,24.42,2
higgs,coreset,0.25,2500,2,0.7000637967327019,2500,78440,3.791,25.366,2
higgs,coreset,0.25,2500,3,0.708856464936237,2500,78440,4.141,24.154,2
higgs,coreset,0.25,2500,4,0.716269840314334,2500,78440,3.806,25.089,2
higgs,coreset,0.5,5000,1,0.7488085818705073,5000,78440,7.507,46.581,2
higgs,coreset,0.5,5000,2,0.7234766197435416,5000,78440,7.696,49.856,2
higgs,coreset,0.5,5000,3,0.7292683493561575,5000,78440,7.459,44.976,2
higgs,coreset,0.5,5000,4,0.7438392028574772,5000,78440,7.613,47.959,2
higgs,coreset,1.0,10000,1,0.7631608602289314,10000,78440,15.925,113.395,2
higgs,coreset,1.0,10000,2,0.7558619794588728,10000,78440,17.704,97.858,2
higgs,coreset,1.0,10000,3,0.7711965316601469,10000,78440,13.783,98.002,2
higgs,coreset,1.0,10000,4,0.7701382089977272,10000,78440,14.546,102.691,2
MiniBooNE,coreset,0.1,1000,1,0.9510239436879272,1000,104051,4.617,24.189,2
MiniBooNE,coreset,0.1,1000,2,0.95365155904253,1000,104051,4.43,24.647,2
MiniBooNE,coreset,0.1,1000,3,0.952244222882338,1000,104051,5.004,23.961,2
MiniBooNE,coreset,0.1,1000,4,0.9598007347930514,1000,104051,4.533,25.039,2
MiniBooNE,coreset,0.25,2500,1,0.970030486916812,2500,104051,13.091,40.531,2
MiniBooNE,coreset,0.25,2500,2,0.9672759046651492,2500,104051,11.771,40.639,2
MiniBooNE,coreset,0.25,2500,3,0.9712962918928836,2500,104051,11.194,44.032,2
MiniBooNE,coreset,0.25,2500,4,0.9673070643133156,2500,104051,12.208,40.933,2
MiniBooNE,coreset,0.5,5000,1,0.973832063069902,5000,104051,24.655,74.116,2
MiniBooNE,coreset,0.5,5000,2,0.9705045197837512,5000,104051,23.09,74.238,2
MiniBooNE,coreset,0.5,5000,3,0.9757042674946316,5000,104051,24.86,77.475,2
MiniBooNE,coreset,0.5,5000,4,0.973459286674906,5000,104051,23.77,74.083,2
MiniBooNE,coreset,1.0,10000,1,0.9773100544506182,10000,104051,49.456,164.864,2
MiniBooNE,coreset,1.0,10000,2,0.9759988723080588,10000,104051,49.648,164.309,2
MiniBooNE,coreset,1.0,10000,3,0.9765721305728956,10000,104051,47.665,175.985,2
MiniBooNE,coreset,1.0,10000,4,0.9771622566599908,10000,104051,52.71,184.157,2
covertype,coreset,0.1,1000,1,0.9317725304950536,1000,464809,19.565,18.97,7
covertype,coreset,0.1,1000,2,0.9340220342708546,1000,464809,20.085,18.761,7
covertype,coreset,0.1,1000,3,0.9309885585308038,1000,464809,19.355,18.93,7
covertype,coreset,0.1,1000,4,0.9303944896944848,1000,464809,19.89,19.013,7
covertype,coreset,0.25,2500,1,0.94919742121891,2500,464809,51.072,31.229,7
covertype,coreset,0.25,2500,2,0.944386403993402,2500,464809,50.376,31.191,7
covertype,coreset,0.25,2500,3,0.9500161753182976,2500,464809,50.743,30.993,7
covertype,coreset,0.25,2500,4,0.9479258325777856,2500,464809,50.439,31.535,7
covertype,coreset,0.5,5000,1,0.9620886011603036,5000,464809,103.697,57.456,7
covertype,coreset,0.5,5000,2,0.9580741134872588,5000,464809,87.654,57.757,7
covertype,coreset,0.5,5000,3,0.9616183463979991,5000,464809,87.125,57.998,7
covertype,coreset,0.5,5000,4,0.9586038210608429,5000,464809,91.976,56.169,7
covertype,coreset,1.0,10000,1,0.971469656196371,10000,464809,181.468,125.035,7
covertype,coreset,1.0,10000,2,0.972048756153351,10000,464809,180.328,123.642,7
covertype,coreset,1.0,10000,3,0.9721456216433534,10000,464809,197.547,123.848,7
covertype,coreset,1.0,10000,4,0.9721923875900592,10000,464809,200.613,123.134,7
bank-marketing,coreset,0.1,1000,1,0.8698809085560947,1000,36168,0.531,6.621,2
bank-marketing,coreset,0.1,1000,2,0.8751541465389383,1000,36168,0.46,6.997,2
bank-marketing,coreset,0.1,1000,3,0.8952733918630514,1000,36168,0.576,6.665,2
bank-marketing,coreset,0.1,1000,4,0.8663811991529485,1000,36168,0.517,6.579,2
bank-marketing,coreset,0.25,2500,1,0.9080356244518016,2500,36168,1.477,11.074,2
bank-marketing,coreset,0.25,2500,2,0.9166173460872408,2500,36168,1.574,10.973,2
bank-marketing,coreset,0.25,2500,3,0.9096018882285192,2500,36168,1.237,10.963,2
bank-marketing,coreset,0.25,2500,4,0.9068095543037336,2500,36168,1.483,11.004,2
bank-marketing,coreset,0.5,5000,1,0.916432985761346,5000,36168,2.71,23.837,2
bank-marketing,coreset,0.5,5000,2,0.925561633166156,5000,36168,2.596,23.495,2
bank-marketing,coreset,0.5,5000,3,0.916465300604986,5000,36168,2.743,19.856,2
bank-marketing,coreset,0.5,5000,4,0.922688571316966,5000,36168,2.94,20.719,2
bank-marketing,coreset,1.0,10000,1,0.9272977570184172,10000,36168,4.839,49.699,2
bank-marketing,coreset,1.0,10000,2,0.9317729485696834,10000,36168,5.204,49.554,2
bank-marketing,coreset,1.0,10000,3,0.9280470352610578,10000,36168,5.358,54.935,2
bank-marketing,coreset,1.0,10000,4,0.931000706665262,10000,36168,5.001,51.868,2
higgs,stratified_coreset,0.1,1000,1,0.6482026955072685,1000,78440,0.836,13.381,2
higgs,stratified_coreset,0.1,1000,2,0.6904411730476241,1000,78440,0.899,13.863,2
higgs,stratified_coreset,0.1,1000,3,0.6988299397500719,1000,78440,0.791,13.234,2
higgs,stratified_coreset,0.1,1000,4,0.706735104183271,1000,78440,0.774,13.06,2
higgs,stratified_coreset,0.25,2500,1,0.7344727974776993,2500,78440,2.262,24.034,2
higgs,stratified_coreset,0.25,2500,2,0.7264247254737942,2500,78440,2.32,24.054,2
higgs,stratified_coreset,0.25,2500,3,0.7098652655705042,2500,78440,2.165,26.466,2
higgs,stratified_coreset,0.25,2500,4,0.7224108928556809,2500,78440,2.525,24.621,2
higgs,stratified_coreset,0.5,5000,1,0.7453546009977283,5000,78440,4.141,45.338,2
higgs,stratified_coreset,0.5,5000,2,0.7393335611186103,5000,78440,4.543,45.299,2
higgs,stratified_coreset,0.5,5000,3,0.7354213008289041,5000,78440,4.756,45.142,2
higgs,stratified_coreset,0.5,5000,4,0.7372694677353151,5000,78440,4.093,44.458,2
higgs,stratified_coreset,1.0,10000,1,0.764428889016239,10000,78440,8.669,99.135,2
higgs,stratified_coreset,1.0,10000,2,0.7557286231383289,10000,78440,8.962,99.75,2
higgs,stratified_coreset,1.0,10000,3,0.7564637082190996,10000,78440,8.922,101.009,2
higgs,stratified_coreset,1.0,10000,4,0.761626439850962,10000,78440,7.678,102.378,2
MiniBooNE,stratified_coreset,0.1,1000,1,0.893504199171282,1000,104051,3.183,24.215,2
MiniBooNE,stratified_coreset,0.1,1000,2,0.8890641969995191,1000,104051,2.612,24.424,2
MiniBooNE,stratified_coreset,0.1,1000,3,0.9198217915816834,1000,104051,2.688,24.448,2
MiniBooNE,stratified_coreset,0.1,1000,4,0.875102049086205,1000,104051,2.578,24.446,2
MiniBooNE,stratified_coreset,0.25,2500,1,0.9201413637443576,2500,104051,7.327,42.033,2
MiniBooNE,stratified_coreset,0.25,2500,2,0.9288704246094048,2500,104051,6.407,41.523,2
MiniBooNE,stratified_coreset,0.25,2500,3,0.9371601790198572,2500,104051,7.266,41.162,2
MiniBooNE,stratified_coreset,0.25,2500,4,0.922972284657108,2500,104051,7.693,41.622,2
MiniBooNE,stratified_coreset,0.5,5000,1,0.947859233094182,5000,104051,13.842,79.692,2
MiniBooNE,stratified_coreset,0.5,5000,2,0.9393617146703586,5000,104051,13.909,79.49,2
MiniBooNE,stratified_coreset,0.5,5000,3,0.9439177109854948,5000,104051,14.365,77.106,2
MiniBooNE,stratified_coreset,0.5,5000,4,0.946627560069758,5000,104051,13.64,77.462,2
MiniBooNE,stratified_coreset,1.0,10000,1,0.9590660061415714,10000,104051,28.095,176.686,2
MiniBooNE,stratified_coreset,1.0,10000,2,0.958533171204086,10000,104051,29.394,177.741,2
MiniBooNE,stratified_coreset,1.0,10000,3,0.9609978547895004,10000,104051,27.966,178.816,2
MiniBooNE,stratified_coreset,1.0,10000,4,0.9592594040214474,10000,104051,28.009,180.824,2
covertype,stratified_coreset,0.1,1000,1,0.9110068614322432,1000,464809,7.643,19.095,7
covertype,stratified_coreset,0.1,1000,2,0.9073518235315708,1000,464809,7.15,19.315,7
covertype,stratified_coreset,0.1,1000,3,0.9138629887536796,1000,464809,7.595,18.85,7
covertype,stratified_coreset,0.1,1000,4,0.913646238275694,1000,464809,7.958,19.087,7
covertype,stratified_coreset,0.25,2500,1,0.9416941823435314,2500,464809,19.469,31.734,7
covertype,stratified_coreset,0.25,2500,2,0.9377038800344752,2500,464809,19.171,31.748,7
covertype,stratified_coreset,0.25,2500,3,0.9375929974749484,2500,464809,20.276,31.828,7
covertype,stratified_coreset,0.25,2500,4,0.9317395113759362,2500,464809,18.977,31.904,7
covertype,stratified_coreset,0.5,5000,1,0.9562712588534266,5000,464809,42.9,57.451,7
covertype,stratified_coreset,0.5,5000,2,0.9509472276879471,5000,464809,38.881,56.556,7
covertype,stratified_coreset,0.5,5000,3,0.9558298662799324,5000,464809,37.854,56.708,7
covertype,stratified_coreset,0.5,5000,4,0.956873847512728,5000,464809,39.538,56.44,7
covertype,stratified_coreset,1.0,10000,1,0.9690343768427966,10000,464809,77.345,124.94,7
covertype,stratified_coreset,1.0,10000,2,0.966161535019127,10000,464809,73.417,124.288,7
covertype,stratified_coreset,1.0,10000,3,0.9685507308438832,10000,464809,75.469,124.414,7
covertype,stratified_coreset,1.0,10000,4,0.9682209822342912,10000,464809,73.082,124.619,7
bank-marketing,stratified_coreset,0.1,1000,1,0.8096430807764559,1000,36168,0.422,6.792,2
bank-marketing,stratified_coreset,0.1,1000,2,0.8227884158979563,1000,36168,0.417,6.701,2
bank-marketing,stratified_coreset,0.1,1000,3,0.8144015302794818,1000,36168,0.337,6.805,2
bank-marketing,stratified_coreset,0.1,1000,4,0.8197251936227306,1000,36168,0.425,6.723,2
bank-marketing,stratified_coreset,0.25,2500,1,0.8512164230427324,2500,36168,0.915,10.878,2
bank-marketing,stratified_coreset,0.25,2500,2,0.896857174309581,2500,36168,0.966,11.054,2
bank-marketing,stratified_coreset,0.25,2500,3,0.8878453574933151,2500,36168,1.092,11.124,2
bank-marketing,stratified_coreset,0.25,2500,4,0.882773761767397,2500,36168,1.071,10.908,2
bank-marketing,stratified_coreset,0.5,5000,1,0.8875957756331875,5000,36168,1.805,19.523,2
bank-marketing,stratified_coreset,0.5,5000,2,0.9032237903536048,5000,36168,1.917,19.638,2
bank-marketing,stratified_coreset,0.5,5000,3,0.9018518891162898,5000,36168,1.953,19.68,2
bank-marketing,stratified_coreset,0.5,5000,4,0.8951553775806006,5000,36168,1.922,20.271,2
bank-marketing,stratified_coreset,1.0,10000,1,0.9008336756181544,10000,36168,3.764,48.24,2
bank-marketing,stratified_coreset,1.0,10000,2,0.922981772297538,10000,36168,3.756,53.916,2
bank-marketing,stratified_coreset,1.0,10000,3,0.9129436928645748,10000,36168,3.833,49.322,2
bank-marketing,stratified_coreset,1.0,10000,4,0.9158296569773428,10000,36168,4.101,48.32,2
covertype,prototype,0.1,1000,1,0.8722535350950428,1000,464809,1964.584,14.498,7
covertype,prototype,0.1,1000,2,0.8954383905715906,1000,464809,1973.239,15.017,7
covertype,prototype,0.1,1000,3,0.8835743982770162,1000,464809,1959.777,14.594,7
covertype,prototype,0.1,1000,4,0.8983574772303824,1000,464809,1868.061,14.783,7
covertype,prototype,0.25,2500,1,0.8859203680355118,2500,464809,1874.511,26.767,7
covertype,prototype,0.25,2500,2,0.8821785175415892,2500,464809,1868.693,27.186,7
covertype,prototype,0.25,2500,3,0.8931161885553575,2500,464809,1872.84,28.486,7
covertype,prototype,0.25,2500,4,0.8832170384955289,2500,464809,1869.375,27.429,7
covertype,prototype,0.5,5000,1,0.9122967844730469,5000,464809,1866.393,54.347,7
covertype,prototype,0.5,5000,2,0.8978296743936193,5000,464809,1875.306,50.862,7
covertype,prototype,0.5,5000,3,0.914391257983562,5000,464809,1867.364,54.385,7
